,first_purchase,last_purchase,tempo_purchase,day_ratio,evening_ratio,night_ratio,weekend_ratio,Electronics_ratio,Fashion_ratio,Home & Garden_ratio,Collectibles_ratio,Lifestyle_ratio,Parts & Accessories_ratio,Business & Industrial_ratio,Media_ratio,median_purchase_price_percentile,q1_purchase_price_percentile,q3_purchase_price_percentile,min_purchase_price_percentile,max_purchase_price_percentile,Age,gender,number_purchase,openness_group
35,0.488407740947,0.929232444202,0.134440618341,0.453333333333,0.266666666667,0.426666666667,0.305555555556,0.527777777778,0.0880503144654,0.277777777778,0.0216049382716,0.12962962963,0.0578703703704,0.0740740740741,0.0,0.72,0.684210526316,0.733333333333,0.342105263158,0.947368421053,0.583333333333,1.0,0.20380952381,0.0
36,0.862617359647,0.976592270005,0.0744523637259,0.333333333333,0.666666666667,0.0,0.823529411765,0.235294117647,0.683684794673,0.0588235294118,0.137254901961,0.0,0.0,0.0,0.0,0.746666666667,0.763157894737,0.493333333333,0.697368421053,0.105263157895,0.625,1.0,0.0304761904762,0.0
37,0.685188733474,0.998366902559,1.0,0.617511520737,0.239631336406,0.184331797235,0.174904942966,0.266159695817,0.536336896478,0.0950570342205,0.15082382763,0.102661596958,0.0,0.0608365019011,0.0,0.0133333333333,0.0,0.04,0.0,0.539473684211,0.708333333333,0.0,1.0,0.0
40,0.999041962062,0.995645073489,0.25353493346,1.0,0.0,0.0,0.4,0.4,0.211320754717,0.2,0.466666666667,0.0,0.0,0.0,0.0,0.48,0.144736842105,0.226666666667,0.802631578947,0.0394736842105,0.291666666667,0.0,0.00761904761905,0.0
43,0.314044836176,0.989657049537,0.174427561719,0.693251533742,0.19018404908,0.147239263804,0.164102564103,0.446153846154,0.162554426705,0.0923076923077,0.358974358974,0.164102564103,0.0320512820513,0.0205128205128,0.282051282051,0.813333333333,0.671052631579,0.786666666667,0.0921052631579,1.0,0.375,1.0,0.369523809524,0.0
45,0.598773711439,0.973326075123,0.0322680824404,0.461538461538,0.384615384615,0.153846153846,0.380952380952,0.0952380952381,0.40251572327,0.380952380952,0.0,0.285714285714,0.0,0.0,0.0,0.4,0.473684210526,0.746666666667,0.815789473684,0.368421052632,0.333333333333,1.0,0.0380952380952,0.0
47,0.879095612186,0.997278170931,0.276290882755,0.557692307692,0.230769230769,0.230769230769,0.118644067797,0.169491525424,0.358170770707,0.0847457627119,0.553672316384,0.169491525424,0.0529661016949,0.0677966101695,0.254237288136,0.453333333333,0.644736842105,0.666666666667,0.434210526316,0.592105263158,0.875,0.0,0.110476190476,0.0
50,0.570990611228,0.841045182363,0.180470546479,0.56,0.173333333333,0.346666666667,0.330357142857,0.00892857142857,1.0,0.0267857142857,0.0416666666667,0.0,0.0,0.0,0.0,0.906666666667,0.868421052632,0.906666666667,0.763157894737,0.855263157895,0.458333333333,0.0,0.211428571429,0.0
51,0.797662387431,0.970604246053,0.0425008981067,0.923076923077,0.0769230769231,0.0,0.0714285714286,0.714285714286,0.22641509434,0.0714285714286,0.0,0.0,0.0,0.0,0.0,0.28,0.539473684211,0.0533333333333,0.263157894737,0.0921052631579,0.458333333333,1.0,0.0247619047619,0.0
56,0.680015328607,0.993467610234,0.237044139527,0.901639344262,0.0245901639344,0.0819672131148,0.031746031746,0.174603174603,0.519916142558,0.293650793651,0.0740740740741,0.015873015873,0.0,0.0,0.0,0.386666666667,0.5,0.346666666667,0.368421052632,0.394736842105,0.458333333333,0.0,0.238095238095,0.0
57,0.353707606821,0.995645073489,0.14940240368,0.644859813084,0.242990654206,0.18691588785,0.322784810127,0.537974683544,0.147122044423,0.113924050633,0.162447257384,0.240506329114,0.0197784810127,0.0,0.0632911392405,0.88,0.776315789474,0.92,0.513157894737,0.986842105263,0.625,1.0,0.299047619048,0.0
